                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.52542,                0.35052,                0.82109,                0.98389,                0.99415,                0.99429,                0.89099,                0.52443,                0.31401,                0.82346,             0.00081721,             0.00081721,             0.00081721
                    105,                0.50161,                0.34272,                0.82037,                0.98337,                0.99367,                0.99014,                0.88288,                0.53497,                0.30743,                0.82567,             0.00081631,             0.00081631,             0.00081631
                    106,                0.52353,                0.34261,                0.82519,                 0.9871,                  0.995,                0.99429,                 0.8863,                0.53334,                0.30712,                0.82321,             0.00081541,             0.00081541,             0.00081541
                    107,                0.52298,                0.35262,                0.81871,                0.98767,                0.99459,                0.98943,                0.87533,                0.54695,                0.31961,                0.83239,             0.00081451,             0.00081451,             0.00081451
                    108,                0.49353,                0.33517,                0.81757,                 0.9873,                0.99617,                0.98829,                0.87802,                0.51848,                0.31496,                0.82001,             0.00081361,             0.00081361,             0.00081361
                    109,                0.49749,                0.33905,                0.82585,                0.98822,                0.99705,                0.98864,                0.88346,                0.52183,                0.30299,                0.82074,             0.00081271,             0.00081271,             0.00081271
                    110,                0.50717,                0.35988,                0.81955,                0.98534,                0.99996,                0.99429,                0.89482,                0.51255,                0.31647,                 0.8169,             0.00081181,             0.00081181,             0.00081181
                    111,                0.51395,                0.35335,                  0.825,                0.99256,                0.99912,                  0.995,                0.88736,                0.53319,                0.31362,                0.82263,             0.00081091,             0.00081091,             0.00081091
                    112,                0.52293,                0.34468,                0.82645,                0.98878,                      1,                  0.995,                0.88671,                0.51841,                0.31138,                0.81958,             0.00081001,             0.00081001,             0.00081001
                    113,                0.50327,                0.34362,                0.82432,                0.99055,                 0.9917,                  0.995,                0.87761,                0.54176,                0.30623,                0.82743,             0.00080911,             0.00080911,             0.00080911
                    114,                  0.516,                 0.3475,                0.81525,                0.98984,                0.99748,                  0.995,                0.88637,                0.52239,                0.30535,                0.81887,             0.00080821,             0.00080821,             0.00080821
                    115,                0.50889,                0.33655,                0.82568,                0.98336,                0.99883,                0.99464,                0.89339,                0.52281,                0.31173,                0.81825,             0.00080731,             0.00080731,             0.00080731
                    116,                0.50069,                0.33621,                0.81236,                0.98304,                0.99118,                  0.995,                0.89269,                0.52579,                0.31118,                0.82105,             0.00080641,             0.00080641,             0.00080641
                    117,                0.49545,                0.32778,                0.82043,                0.98967,                0.98795,                  0.995,                0.88574,                0.52584,                0.30496,                0.82389,             0.00080551,             0.00080551,             0.00080551
                    118,                0.50787,                0.33733,                0.81603,                0.98848,                 0.9954,                  0.995,                0.89325,                0.51949,                0.30474,                0.81953,             0.00080461,             0.00080461,             0.00080461
                    119,                0.53134,                0.34023,                0.83855,                0.98642,                 0.9942,                  0.995,                0.89241,                0.51496,                0.30087,                0.81611,             0.00080371,             0.00080371,             0.00080371
                    120,                0.50855,                0.32802,                0.82523,                0.99398,                 0.9942,                  0.995,                0.89572,                 0.5209,                0.29741,                0.82115,             0.00080281,             0.00080281,             0.00080281
                    121,                0.50717,                0.32522,                0.82015,                0.98854,                0.99385,                0.99393,                 0.8945,                0.51535,                0.29526,                0.81862,             0.00080191,             0.00080191,             0.00080191
                    122,                0.51787,                 0.3303,                0.81676,                 0.9884,                0.99487,                0.99393,                0.89821,                0.52707,                 0.3029,                0.82349,             0.00080101,             0.00080101,             0.00080101
                    123,                0.50918,                0.33923,                0.82831,                0.98877,                0.99492,                  0.995,                0.88905,                0.51649,                0.29719,                0.82075,             0.00080011,             0.00080011,             0.00080011
                    124,                0.51108,                0.33527,                0.82852,                0.98863,                0.99433,                0.98829,                0.87771,                0.53763,                0.30922,                0.82568,             0.00079921,             0.00079921,             0.00079921
                    125,                0.49531,                0.33876,                  0.823,                0.98811,                0.99568,                  0.989,                0.88503,                0.53314,                0.30257,                0.82467,             0.00079831,             0.00079831,             0.00079831
                    126,                0.51061,                 0.3222,                0.82338,                0.98652,                0.99471,                0.98789,                0.88323,                0.52104,                0.31271,                0.82345,             0.00079741,             0.00079741,             0.00079741
                    127,                0.52071,                0.41318,                0.83724,                0.98425,                      1,                0.98864,                0.88858,                0.52219,                0.30369,                0.82007,             0.00079651,             0.00079651,             0.00079651
                    128,                0.50105,                0.32685,                0.82901,                0.98583,                0.99598,                  0.989,                0.88891,                0.51293,                0.29257,                0.81851,             0.00079561,             0.00079561,             0.00079561
                    129,                0.48992,                0.32332,                 0.8211,                0.98493,                0.99589,                0.98864,                0.88069,                0.51933,                0.30844,                0.81897,             0.00079471,             0.00079471,             0.00079471
                    130,                0.52612,                0.34519,                0.84674,                 0.9867,                0.99638,                0.99093,                0.88808,                0.52813,                0.30908,                0.82025,             0.00079381,             0.00079381,             0.00079381
                    131,                0.50873,                0.33287,                0.81404,                0.98882,                0.99477,                  0.995,                0.89621,                 0.5249,                 0.2979,                0.81969,             0.00079291,             0.00079291,             0.00079291
                    132,                0.48351,                0.32375,                0.81311,                0.98779,                 0.9955,                0.99429,                 0.8953,                0.52536,                0.29563,                0.81654,             0.00079201,             0.00079201,             0.00079201
                    133,                0.48885,                0.31911,                0.81822,                0.96854,                0.99425,                0.98938,                0.89035,                0.50906,                0.30572,                0.81717,             0.00079111,             0.00079111,             0.00079111
                    134,                0.50945,                0.33221,                0.82561,                0.98405,                 0.9943,                  0.992,                0.89229,                0.52705,                 0.3135,                0.82159,             0.00079021,             0.00079021,             0.00079021
                    135,                0.48413,                0.32051,                0.81046,                 0.9839,                 0.9953,                 0.9935,                0.89973,                0.52355,                0.31161,                0.81904,             0.00078931,             0.00078931,             0.00078931
                    136,                0.49438,                0.32033,                0.81343,                0.98343,                0.99796,                  0.992,                0.88732,                0.54481,                0.30115,                0.82439,             0.00078841,             0.00078841,             0.00078841
                    137,                 0.5047,                0.31808,                0.82678,                0.98469,                0.99161,                0.99243,                0.88734,                0.52403,                0.29736,                0.82148,             0.00078751,             0.00078751,             0.00078751
                    138,                0.48889,                0.31847,                0.81859,                0.97807,                0.98973,                0.99464,                0.89659,                0.51235,                0.30383,                0.81814,             0.00078661,             0.00078661,             0.00078661
                    139,                0.48108,                0.31376,                0.81986,                0.97533,                0.99325,                0.99324,                0.89999,                0.51345,                0.30795,                 0.8208,             0.00078571,             0.00078571,             0.00078571
                    140,                0.47133,                 0.3147,                0.82174,                0.97971,                0.98813,                 0.9858,                0.88664,                0.53164,                 0.3195,                0.82399,             0.00078481,             0.00078481,             0.00078481
                    141,                0.47983,                0.31689,                0.82233,                0.98212,                0.98998,                0.99106,                0.87838,                0.54607,                0.30518,                0.82868,             0.00078391,             0.00078391,             0.00078391
                    142,                0.50718,                0.32183,                0.82424,                0.97363,                 0.9932,                0.98959,                0.87242,                0.56045,                0.32165,                0.83327,             0.00078301,             0.00078301,             0.00078301
                    143,                0.50097,                0.31983,                0.82562,                 0.9854,                 0.9874,                0.99429,                0.88441,                0.54548,                0.30837,                0.82759,             0.00078211,             0.00078211,             0.00078211
                    144,                0.48634,                0.30642,                0.81864,                0.98539,                0.98795,                  0.992,                0.88989,                 0.5246,                0.31092,                0.82047,             0.00078121,             0.00078121,             0.00078121
                    145,                0.51743,                0.32129,                0.82633,                0.98605,                0.98865,                0.99279,                0.88785,                0.52478,                0.30642,                0.82642,             0.00078031,             0.00078031,             0.00078031
                    146,                0.52862,                0.39341,                 0.8592,                0.97496,                 0.9903,                0.99129,                0.88499,                0.54589,                0.31885,                0.82472,             0.00077941,             0.00077941,             0.00077941
                    147,                0.48485,                 0.3153,                0.82325,                0.98574,                0.98903,                 0.9935,                0.89634,                0.51045,                 0.2931,                0.81446,             0.00077851,             0.00077851,             0.00077851
                    148,                0.48379,                 0.3171,                0.81795,                0.98728,                0.99591,                 0.9935,                 0.8948,                0.52397,                0.29589,                0.82204,             0.00077761,             0.00077761,             0.00077761
                    149,                0.49143,                0.31213,                0.81783,                 0.9874,                 0.9965,                  0.995,                0.89971,                0.52211,                0.28853,                0.81949,             0.00077671,             0.00077671,             0.00077671
                    150,                0.47925,                0.30595,                0.81603,                0.98945,                  0.995,                0.99429,                0.88702,                 0.5162,                0.28456,                0.81682,             0.00077581,             0.00077581,             0.00077581
                    151,                0.48592,                0.30926,                0.82523,                0.98612,                0.99567,                0.98943,                0.88983,                0.51118,                0.28767,                0.81546,             0.00077491,             0.00077491,             0.00077491
                    152,                0.46552,                 0.3094,                0.82071,                0.98482,                0.99177,                0.99393,                0.89178,                0.52936,                0.28786,                0.81739,             0.00077401,             0.00077401,             0.00077401
                    153,                0.49628,                0.31538,                0.81266,                0.98345,                0.99267,                0.99393,                0.88862,                0.53217,                0.28849,                0.82293,             0.00077311,             0.00077311,             0.00077311
                    154,                0.50795,                0.31886,                0.83266,                0.98693,                0.99563,                  0.995,                0.89502,                 0.5335,                0.29122,                0.82147,             0.00077221,             0.00077221,             0.00077221
                    155,                0.48508,                0.30705,                0.81915,                 0.9864,                0.99551,                0.98943,                0.89455,                0.51504,                0.28633,                0.81677,             0.00077131,             0.00077131,             0.00077131
                    156,                0.47371,                0.29901,                0.80955,                0.98631,                0.99934,                0.98979,                0.89276,                 0.5028,                0.27244,                0.80992,             0.00077041,             0.00077041,             0.00077041
                    157,                0.48526,                0.30175,                0.81815,                0.98242,                0.99818,                 0.9905,                0.89566,                0.50666,                0.27541,                 0.8111,             0.00076951,             0.00076951,             0.00076951
                    158,                 0.4763,                0.31295,                 0.8227,                0.98043,                0.99694,                  0.995,                0.90177,                0.50233,                0.28442,                0.81463,             0.00076861,             0.00076861,             0.00076861
                    159,                0.47428,                0.30301,                0.81429,                0.98714,                0.99853,                  0.995,                0.89954,                0.50207,                0.27763,                0.81261,             0.00076771,             0.00076771,             0.00076771
                    160,                0.51147,                0.32368,                0.83779,                0.98833,                 0.9947,                  0.995,                0.89512,                0.50342,                0.27845,                  0.812,             0.00076681,             0.00076681,             0.00076681
                    161,                0.47294,                0.30268,                0.81046,                0.98615,                0.99419,                0.99314,                0.90029,                0.49804,                0.27498,                0.81008,             0.00076591,             0.00076591,             0.00076591
                    162,                0.48749,                0.30715,                0.82183,                0.98865,                0.99681,                0.99014,                0.88774,                0.52115,                0.28509,                0.81648,             0.00076501,             0.00076501,             0.00076501
                    163,                0.46996,                0.29741,                 0.8137,                0.98873,                0.99576,                0.99129,                0.90115,                 0.5119,                0.27959,                 0.8141,             0.00076411,             0.00076411,             0.00076411
                    164,                0.45943,                0.29266,                0.81805,                0.98785,                0.99539,                0.99393,                0.89881,                  0.523,                0.27329,                0.81558,             0.00076321,             0.00076321,             0.00076321
                    165,                 0.4785,                 0.3001,                0.82067,                0.98633,                0.99582,                  0.995,                0.89892,                 0.5242,                0.27476,                0.82141,             0.00076231,             0.00076231,             0.00076231
                    166,                0.47876,                0.30149,                0.81322,                0.98824,                0.99404,                0.99464,                0.90014,                0.51572,                0.28719,                0.81982,             0.00076141,             0.00076141,             0.00076141
                    167,                0.46966,                0.30533,                0.81033,                0.98853,                0.99427,                  0.995,                0.89627,                0.50924,                0.27848,                0.81539,             0.00076051,             0.00076051,             0.00076051
                    168,                0.46974,                0.30118,                0.81818,                0.98849,                0.99115,                0.99429,                 0.8894,                0.52281,                0.29677,                0.82602,             0.00075961,             0.00075961,             0.00075961
                    169,                0.45675,                0.29473,                0.81324,                0.98241,                0.99073,                  0.995,                0.89528,                0.51097,                0.29026,                0.81904,             0.00075872,             0.00075872,             0.00075872
                    170,                0.48258,                0.30346,                0.81644,                0.98755,                0.99108,                  0.995,                0.88793,                0.53292,                0.28692,                0.82183,             0.00075782,             0.00075782,             0.00075782
                    171,                0.48253,                0.30558,                0.81439,                0.98346,                0.99607,                0.99164,                0.88777,                0.53553,                0.28719,                0.82592,             0.00075692,             0.00075692,             0.00075692
                    172,                0.46386,                0.29962,                 0.8145,                0.97844,                 0.9965,                0.99023,                0.88698,                0.53313,                 0.2887,                 0.8235,             0.00075602,             0.00075602,             0.00075602
                    173,                0.47505,                0.30015,                0.81699,                0.97936,                0.99404,                 0.9898,                0.88282,                0.54088,                0.30465,                0.82365,             0.00075512,             0.00075512,             0.00075512
                    174,                0.48047,                0.30463,                0.81706,                 0.9872,                0.99532,                0.99243,                0.88833,                0.54097,                0.30913,                0.83441,             0.00075422,             0.00075422,             0.00075422
                    175,                 0.4674,                0.30511,                0.81184,                0.98401,                0.99544,                0.99164,                0.88481,                0.53458,                0.30266,                0.82716,             0.00075332,             0.00075332,             0.00075332
                    176,                0.46414,                0.29991,                0.80316,                0.98886,                0.99397,                0.99464,                0.88894,                0.53895,                0.29407,                0.82677,             0.00075242,             0.00075242,             0.00075242
                    177,                0.45252,                0.29946,                0.81052,                  0.987,                0.99413,                0.99429,                0.89195,                0.53496,                0.29635,                0.82748,             0.00075152,             0.00075152,             0.00075152
                    178,                0.46809,                0.30803,                0.81349,                0.98099,                0.98528,                  0.992,                0.88658,                0.52911,                 0.2955,                0.82422,             0.00075062,             0.00075062,             0.00075062
                    179,                0.45685,                0.29455,                0.82194,                0.98919,                0.98911,                0.98943,                0.88064,                 0.5315,                0.28588,                0.82396,             0.00074972,             0.00074972,             0.00074972
                    180,                 0.4762,                0.29289,                0.81861,                0.98687,                0.99166,                0.98789,                0.87862,                0.53378,                0.27766,                 0.8207,             0.00074882,             0.00074882,             0.00074882
                    181,                0.47414,                0.29628,                0.81991,                0.98917,                0.99493,                0.98789,                0.88695,                 0.5452,                0.28614,                0.82719,             0.00074792,             0.00074792,             0.00074792
                    182,                0.47536,                0.30342,                0.81409,                0.98678,                0.99696,                0.99129,                 0.8969,                0.51794,                0.27274,                0.82101,             0.00074702,             0.00074702,             0.00074702
                    183,                 0.4795,                0.29537,                0.81866,                0.98735,                0.99623,                0.98979,                0.88903,                0.53949,                0.29579,                0.82345,             0.00074612,             0.00074612,             0.00074612
                    184,                0.46283,                0.29844,                0.81343,                0.98572,                0.99355,                0.98979,                0.88613,                0.53452,                 0.2942,                0.82364,             0.00074522,             0.00074522,             0.00074522
                    185,                0.46568,                0.29682,                0.82014,                0.98511,                0.99099,                0.99393,                0.89136,                0.52609,                0.28529,                0.82143,             0.00074432,             0.00074432,             0.00074432
                    186,                0.47088,                0.29177,                0.81354,                0.98583,                0.99584,                0.99464,                0.88842,                0.54409,                0.27921,                 0.8243,             0.00074342,             0.00074342,             0.00074342
                    187,                0.46635,                0.29451,                0.80779,                0.98213,                      1,                0.99164,                0.88375,                0.54154,                0.28451,                0.82506,             0.00074252,             0.00074252,             0.00074252
                    188,                0.43409,                 0.4452,                0.75817,                 0.9827,                      1,                0.99279,                0.89259,                0.53038,                0.28927,                0.82001,             0.00074162,             0.00074162,             0.00074162
                    189,                0.45223,                0.29482,                0.81205,                0.97678,                0.99487,                0.99438,                0.89292,                0.52162,                0.28504,                0.82178,             0.00074072,             0.00074072,             0.00074072
                    190,                0.46585,                0.31026,                0.81148,                 0.9751,                0.99241,                0.98852,                0.88701,                0.52127,                0.29955,                0.82522,             0.00073982,             0.00073982,             0.00073982
                    191,                0.47476,                0.30272,                0.81551,                0.97598,                0.98872,                0.98483,                0.89671,                0.51369,                0.29595,                 0.8195,             0.00073892,             0.00073892,             0.00073892
                    192,                0.45743,                0.29833,                0.81073,                0.97607,                0.98865,                0.98917,                 0.8894,                0.51965,                0.28988,                0.81774,             0.00073802,             0.00073802,             0.00073802
                    193,                0.45424,                0.29307,                0.81069,                0.98291,                0.98893,                0.99429,                0.88799,                0.53537,                0.29208,                0.83081,             0.00073712,             0.00073712,             0.00073712
                    194,                0.46915,                0.30171,                0.81143,                0.98314,                 0.9875,                0.99404,                0.89273,                 0.5248,                0.29517,                0.82104,             0.00073622,             0.00073622,             0.00073622
                    195,                0.46024,                0.30017,                0.81287,                0.98167,                0.98393,                0.99404,                0.89281,                0.51594,                0.29486,                0.82091,             0.00073532,             0.00073532,             0.00073532
                    196,                0.47169,                0.30723,                0.81284,                0.98178,                0.98803,                0.99464,                0.89096,                0.52538,                0.29147,                 0.8238,             0.00073442,             0.00073442,             0.00073442
                    197,                0.48481,                0.29917,                0.82471,                0.98339,                0.98818,                0.99014,                0.88995,                 0.5344,                0.29643,                0.82258,             0.00073352,             0.00073352,             0.00073352
                    198,                 0.4688,                0.29383,                 0.8157,                0.98718,                0.98975,                0.99429,                0.89013,                0.53944,                0.29343,                0.82461,             0.00073262,             0.00073262,             0.00073262
                    199,                0.46877,                0.32078,                0.81719,                0.98698,                0.99564,                0.99464,                 0.8952,                0.53363,                0.28083,                0.82288,             0.00073172,             0.00073172,             0.00073172
                    200,                0.45702,                0.28739,                0.81555,                0.98842,                0.99617,                0.99164,                0.88911,                0.53309,                0.28446,                0.82615,             0.00073082,             0.00073082,             0.00073082
                    201,                0.47133,                0.29436,                0.81007,                0.98534,                0.99549,                  0.995,                0.89381,                0.53683,                0.28255,                 0.8258,             0.00072992,             0.00072992,             0.00072992
                    202,                0.46834,                0.30397,                0.81219,                0.98433,                0.99618,                0.99464,                0.89274,                0.54353,                0.29143,                0.82374,             0.00072902,             0.00072902,             0.00072902
                    203,                0.46737,                0.29942,                0.81419,                0.98521,                0.99591,                0.99314,                0.89357,                0.53221,                0.28088,                0.82111,             0.00072812,             0.00072812,             0.00072812
                    204,                0.46554,                0.28953,                0.81476,                0.98541,                0.98095,                0.99464,                0.89623,                0.53846,                0.30159,                0.82348,             0.00072722,             0.00072722,             0.00072722
                    205,                0.46899,                0.29485,                0.80831,                0.98189,                0.98315,                  0.995,                0.89684,                0.52729,                0.29164,                0.82044,             0.00072632,             0.00072632,             0.00072632
                    206,                 0.4508,                0.29405,                0.81761,                0.98048,                0.98378,                0.99403,                 0.8964,                0.53149,                0.29871,                0.82053,             0.00072542,             0.00072542,             0.00072542
                    207,                0.46672,                0.29216,                0.80767,                0.98831,                0.98872,                  0.995,                0.89312,                0.53783,                0.28186,                0.82226,             0.00072452,             0.00072452,             0.00072452
                    208,                0.46818,                 0.2868,                0.81832,                0.98833,                0.99457,                0.99429,                0.89475,                0.52543,                0.27042,                 0.8177,             0.00072362,             0.00072362,             0.00072362
